,Rank,Participant,Result,Event,Year
1482,1.0,United States of America,7.04.66,4x200m-freestyle-relay-men,2008
1483,2.0,Italy,7.07.84,4x200m-freestyle-relay-men,2008
1484,3.0,Russian Federation,7.07.86,4x200m-freestyle-relay-men,2008
1485,4.0,Great Britain,7.07.89,4x200m-freestyle-relay-men,2008
1486,5.0,Canada,7.08.04,4x200m-freestyle-relay-men,2008
1487,6.0,Australia,7.08.41,4x200m-freestyle-relay-men,2008
1488,7.0,Japan,7.09.12,4x200m-freestyle-relay-men,2008
1489,8.0,South Africa,7.10.91,4x200m-freestyle-relay-men,2008
1490,9.0,Austria,7.11.45,4x200m-freestyle-relay-men,2008
1491,10.0,People's Republic of China,7.13.57,4x200m-freestyle-relay-men,2008
1492,10.0,France,7.13.57,4x200m-freestyle-relay-men,2008
1493,12.0,Germany,7.13.92,4x200m-freestyle-relay-men,2008
1494,13.0,Hungary,7.14.14,4x200m-freestyle-relay-men,2008
1495,14.0,Poland,7.18.09,4x200m-freestyle-relay-men,2008
1496,15.0,Greece,7.18.26,4x200m-freestyle-relay-men,2008
1497,16.0,Brazil,7.19.54,4x200m-freestyle-relay-men,2008
1498,G,Cesar CIELO FILHO  BRA,21.3,50m-freestyle-men,2008
1499,S,Amaury LEVEAUX  FRA,21.45,50m-freestyle-men,2008
1500,B,Alain BERNARD  FRA,21.49,50m-freestyle-men,2008
1501,4.,Ashley CALLUS  AUS,21.62,50m-freestyle-men,2008
1502,5.,Ben WILDMAN-TOBRINER  USA,21.64,50m-freestyle-men,2008
1503,6.,Eamon SULLIVAN  AUS,21.65,50m-freestyle-men,2008
1504,7.,Roland SCHOEMAN  RSA,21.67,50m-freestyle-men,2008
1505,8.,Stefan NYSTRAND  SWE,21.72,50m-freestyle-men,2008
1506,1.0,Cesar CIELO FILHO  BRA,21.34,50m-freestyle-men,2008
1507,2.0,Alain BERNARD  FRA,21.54,50m-freestyle-men,2008
1508,3.0,Ashley CALLUS  AUS,21.68,50m-freestyle-men,2008
1509,4.0,Stefan NYSTRAND  SWE,21.71,50m-freestyle-men,2008
1510,5.0,Roland SCHOEMAN  RSA,21.74,50m-freestyle-men,2008
1511,6.0,Eamon SULLIVAN  AUS,21.75,50m-freestyle-men,2008
1512,7.0,Ben WILDMAN-TOBRINER  USA,21.76,50m-freestyle-men,2008
1513,7.0,Amaury LEVEAUX  FRA,21.76,50m-freestyle-men,2008
1514,9.0,Krisztian TAKACS  HUN,21.84,50m-freestyle-men,2008
1515,10.0,Duje DRAGANJA  CRO,21.85,50m-freestyle-men,2008
1516,11.0,George Richard BOVELL  TTO,21.86,50m-freestyle-men,2008
1517,12.0,Gideon LOUW  RSA,21.97,50m-freestyle-men,2008
1518,13.0,Garrett WEBER-GALE  USA,22.08,50m-freestyle-men,2008
1519,14.0,Rafed Ziad EL MASRI  GER,22.09,50m-freestyle-men,2008
1520,15.0,Bartosz KIZIEROWSKI  POL,22.12,50m-freestyle-men,2008
1521,16.0,Nicholas SANTOS  BRA,22.15,50m-freestyle-men,2008
1522,1.,Amaury LEVEAUX  FRA,21.46,50m-freestyle-men,2008
1523,2.,Cesar CIELO FILHO  BRA,21.47,50m-freestyle-men,2008
1524,3.,Ben WILDMAN-TOBRINER  USA,21.75,50m-freestyle-men,2008
1525,3.,Stefan NYSTRAND  SWE,21.75,50m-freestyle-men,2008
1526,5.,Roland SCHOEMAN  RSA,21.76,50m-freestyle-men,2008
1527,6.,George Richard BOVELL  TTO,21.77,50m-freestyle-men,2008
1528,7.,Alain BERNARD  FRA,21.78,50m-freestyle-men,2008
1529,8.,Eamon SULLIVAN  AUS,21.79,50m-freestyle-men,2008
1530,9.,Garrett WEBER-GALE  USA,21.95,50m-freestyle-men,2008
1531,10.,Rafed Ziad EL MASRI  GER,21.96,50m-freestyle-men,2008
1532,11.,Nicholas SANTOS  BRA,22.00,50m-freestyle-men,2008
1533,12.,Duje DRAGANJA  CRO,22.05,50m-freestyle-men,2008
1534,13.,Ashley CALLUS  AUS,22.11,50m-freestyle-men,2008
1535,14.,Krisztian TAKACS  HUN,22.14,50m-freestyle-men,2008
1536,15.,Bartosz KIZIEROWSKI  POL,22.15,50m-freestyle-men,2008
1537,16.,Gideon LOUW  RSA,22.17,50m-freestyle-men,2008
1538,17.,Andrey GRECHIN  RUS,22.20,50m-freestyle-men,2008
1539,18.,Jernej GODEC  SLO,22.21,50m-freestyle-men,2008
1540,19.,Flori LANG  SUI,22.27,50m-freestyle-men,2008
1541,20.,David DUNFORD  KEN,22.29,50m-freestyle-men,2008
1544,21.,Evgeny LAGUNOV  RUS,22.30,50m-freestyle-men,2008
1545,22.,Javier NORIEGA  ESP,22.33,50m-freestyle-men,2008
1546,23.,Salim ILES  ALG,22.35,50m-freestyle-men,2008
1547,23.,Mark FOSTER  GBR,22.35,50m-freestyle-men,2008
1548,25.,Miko MALBERG  EST,22.37,50m-freestyle-men,2008
1549,26.,Apostolos TSAGKARAKIS  GRE,22.39,50m-freestyle-men,2008
1550,27.,Richard HORTNESS  CAN,22.42,50m-freestyle-men,2008
1551,28.,Yoris GRANDJEAN  BEL,22.45,50m-freestyle-men,2008
1552,29.,Matti RAJAKYLA  FIN,22.48,50m-freestyle-men,2008
1553,30.,Li CAI  CHN,22.50,50m-freestyle-men,2008
1554,30.,Alessandro CALVI  ITA,22.50,50m-freestyle-men,2008
1555,32.,Robert LIJESEN  NED,22.51,50m-freestyle-men,2008
1556,33.,Jakob Schioett ANDKJAER  DEN,22.52,50m-freestyle-men,2008
1557,34.,Jacinto de Jesus AYALA BENJAMIN  DOM,22.57,50m-freestyle-men,2008
1558,35.,Jose Martin MEOLANS  ARG,22.58,50m-freestyle-men,2008
1559,36.,Andrei RADZIONAU  BLR,22.65,50m-freestyle-men,2008
1560,37.,Kaan TAYLA  TUR,22.66,50m-freestyle-men,2008
1561,38.,Steffen DEIBLER  GER,22.67,50m-freestyle-men,2008
1562,39.,Daniel COAKLEY  PHI,22.69,50m-freestyle-men,2008
1563,40.,Virdhawal KHADE  IND,22.73,50m-freestyle-men,2008
1564,41.,Oliver ELLIOT  CHI,22.75,50m-freestyle-men,2008
1565,42.,Yuriy YEGOSHIN  UKR,22.77,50m-freestyle-men,2008
1566,43.,Norbert TRANDAFIR  ROU,22.80,50m-freestyle-men,2008
1567,44.,Arni Mar ARNASON  ISL,22.81,50m-freestyle-men,2008
1568,45.,Jevon ATKINSON  JAM,22.83,50m-freestyle-men,2008
1569,45.,Mohammad MADWA  KUW,22.83,50m-freestyle-men,2008
1570,47.,Jonathan Javier CAMACHO RIERA  VEN,22.87,50m-freestyle-men,2008
1571,48.,Stanislav KUZMIN  KAZ,22.91,50m-freestyle-men,2008
1572,49.,Camilo BECERRA  COL,22.93,50m-freestyle-men,2008
1573,50.,Francisco PICASSO  URU,23.01,50m-freestyle-men,2008
1574,51.,Martyn FORDE  BAR,23.08,50m-freestyle-men,2008
1575,52.,Elvis Vereance BURROWS  BAH,23.19,50m-freestyle-men,2008
1576,53.,Joshua LABAN  ISV,23.28,50m-freestyle-men,2008
1577,54.,Mohamed EL NADY  EGY,23.92,50m-freestyle-men,2008
1578,55.,Yellow YEIYAH  NGR,24.00,50m-freestyle-men,2008
1579,56.,Vitaly VASILEV  KGZ,24.02,50m-freestyle-men,2008
1580,57.,Rodion DAVELAAR  AHO,24.21,50m-freestyle-men,2008
1581,58.,Rolandas GIMBUTIS  LTU,24.36,50m-freestyle-men,2008
1582,59.,Anas HAMADEH  JOR,24.40,50m-freestyle-men,2008
1583,60.,Luke HALL  SWZ,24.41,50m-freestyle-men,2008
1584,61.,Alain BRIGION TOBE  CMR,24.53,50m-freestyle-men,2008
1585,62.,Alois DANSOU  BEN,24.54,50m-freestyle-men,2008
1586,63.,Sidni HOXHA  ALB,24.56,50m-freestyle-men,2008
1587,64.,Omar JASIM  BRN,24.65,50m-freestyle-men,2008
1588,65.,Zane JORDAN  ZAM,24.82,50m-freestyle-men,2008
1589,66.,Daniel LEE  SRI,24.92,50m-freestyle-men,2008
1590,67.,Chakyl Pfiffer CAMAL  MOZ,24.93,50m-freestyle-men,2008
1591,68.,Andrey MOLCHANOV  TKM,25.02,50m-freestyle-men,2008
1592,69.,Niall ROBERTS  GUY,25.13,50m-freestyle-men,2008
1593,70.,Kerson HADLEY  FSM,25.34,50m-freestyle-men,2008
1594,71.,Stewart GLENISTER  ASA,25.45,50m-freestyle-men,2008
1595,72.,John KAMYUKA  BOT,25.54,50m-freestyle-men,2008
1596,73.,Hamza ABDO  PLE,25.60,50m-freestyle-men,2008
1597,74.,Adil BAIG  PAK,25.66,50m-freestyle-men,2008
1598,75.,Yasser NUNEZ MUNGUIA  NCA,26.00,50m-freestyle-men,2008
1599,76.,Kouassi BROU  CIV,26.08,50m-freestyle-men,2008
1600,77.,Kyaw ZIN  MYA,26.17,50m-freestyle-men,2008
1601,78.,Tural ABBASOV  AZE,26.31,50m-freestyle-men,2008
1602,79.,Ponloeu HEMTHON  CAM,27.39,50m-freestyle-men,2008
1603,80.,Charlton NYIRENDA  MAW,27.46,50m-freestyle-men,2008
1604,81.,Prasiddha SHAH  NEP,27.59,50m-freestyle-men,2008
1605,82.,Gilbert KABURU  UGA,27.72,50m-freestyle-men,2008
1606,83.,Jackson NIYOMUGABO  RWA,27.74,50m-freestyle-men,2008
1607,84.,Khalid Yahya RUSHAKA  TAN,28.50,50m-freestyle-men,2008
1608,85.,Dwayne Benjamin DIDON  SEY,28.95,50m-freestyle-men,2008
1609,86.,Mohamed COULIBALY  MLI,29.09,50m-freestyle-men,2008
1610,87.,Alisher CHINGIZOV  TJK,29.10,50m-freestyle-men,2008
1611,88.,Ibrahim SHAMEEL  MDV,29.28,50m-freestyle-men,2008
1612,89.,Mamadou CISSE  GUI,29.29,50m-freestyle-men,2008
1613,90.,Thepphithak CHINDAVONG  LAO,29.31,50m-freestyle-men,2008
1614,91.,Mohamed ATTOUMANE  COM,29.63,50m-freestyle-men,2008
1615,92.,Rene Jacob YOUGBARE  BUR,30.08,50m-freestyle-men,2008
1616,93.,Ahmed ADAM  SUD,30.12,50m-freestyle-men,2008
1617,94.,Abdulsalam AL GADABI  YEM,30.63,50m-freestyle-men,2008
1618,95.,Mohamed Lamine ALHOUSSEINI ALHASSAN  NIG,30.90,50m-freestyle-men,2008
1619,96.,Kareem Javier SANDOVAL VALENTINE  ANT,31.23,50m-freestyle-men,2008
1620,97.,Stany KEMPOMPO NGANGOLA  COD,35.19,50m-freestyle-men,2008
1621,21.0,Evgeny LAGUNOV  RUS,22.3,50m-freestyle-men,2008
1622,22.0,Javier NORIEGA  ESP,22.33,50m-freestyle-men,2008
1623,23.0,Salim ILES  ALG,22.35,50m-freestyle-men,2008
1624,23.0,Mark FOSTER  GBR,22.35,50m-freestyle-men,2008
1625,25.0,Miko MALBERG  EST,22.37,50m-freestyle-men,2008
1626,26.0,Apostolos TSAGKARAKIS  GRE,22.39,50m-freestyle-men,2008
1627,27.0,Richard HORTNESS  CAN,22.42,50m-freestyle-men,2008
1628,28.0,Yoris GRANDJEAN  BEL,22.45,50m-freestyle-men,2008
1629,29.0,Matti RAJAKYLA  FIN,22.48,50m-freestyle-men,2008
1630,30.0,Li CAI  CHN,22.5,50m-freestyle-men,2008
1631,30.0,Alessandro CALVI  ITA,22.5,50m-freestyle-men,2008
1632,32.0,Robert LIJESEN  NED,22.51,50m-freestyle-men,2008
1633,33.0,Jakob Schioett ANDKJAER  DEN,22.52,50m-freestyle-men,2008
1634,34.0,Jacinto de Jesus AYALA BENJAMIN  DOM,22.57,50m-freestyle-men,2008
1635,35.0,Jose Martin MEOLANS  ARG,22.58,50m-freestyle-men,2008
1636,36.0,Andrei RADZIONAU  BLR,22.65,50m-freestyle-men,2008
1637,37.0,Kaan TAYLA  TUR,22.66,50m-freestyle-men,2008
1638,38.0,Steffen DEIBLER  GER,22.67,50m-freestyle-men,2008
1639,39.0,Daniel COAKLEY  PHI,22.69,50m-freestyle-men,2008
1640,40.0,Virdhawal KHADE  IND,22.73,50m-freestyle-men,2008
1641,41.0,Oliver ELLIOT  CHI,22.75,50m-freestyle-men,2008
1642,42.0,Yuriy YEGOSHIN  UKR,22.77,50m-freestyle-men,2008
1643,43.0,Norbert TRANDAFIR  ROU,22.8,50m-freestyle-men,2008
1644,44.0,Arni Mar ARNASON  ISL,22.81,50m-freestyle-men,2008
1645,45.0,Jevon ATKINSON  JAM,22.83,50m-freestyle-men,2008
1646,45.0,Mohammad MADWA  KUW,22.83,50m-freestyle-men,2008
1647,47.0,Jonathan Javier CAMACHO RIERA  VEN,22.87,50m-freestyle-men,2008
1648,48.0,Stanislav KUZMIN  KAZ,22.91,50m-freestyle-men,2008
1649,49.0,Camilo BECERRA  COL,22.93,50m-freestyle-men,2008
1650,50.0,Francisco PICASSO  URU,23.01,50m-freestyle-men,2008
1651,51.0,Martyn FORDE  BAR,23.08,50m-freestyle-men,2008
1652,52.0,Elvis Vereance BURROWS  BAH,23.19,50m-freestyle-men,2008
1653,53.0,Joshua LABAN  ISV,23.28,50m-freestyle-men,2008
1654,54.0,Mohamed EL NADY  EGY,23.92,50m-freestyle-men,2008
1655,55.0,Yellow YEIYAH  NGR,24.0,50m-freestyle-men,2008
1656,56.0,Vitaly VASILEV  KGZ,24.02,50m-freestyle-men,2008
1657,57.0,Rodion DAVELAAR  AHO,24.21,50m-freestyle-men,2008
1658,58.0,Rolandas GIMBUTIS  LTU,24.36,50m-freestyle-men,2008
1659,59.0,Anas HAMADEH  JOR,24.4,50m-freestyle-men,2008
1660,60.0,Luke HALL  SWZ,24.41,50m-freestyle-men,2008
1661,61.0,Alain BRIGION TOBE  CMR,24.53,50m-freestyle-men,2008
1662,62.0,Alois DANSOU  BEN,24.54,50m-freestyle-men,2008
1663,63.0,Sidni HOXHA  ALB,24.56,50m-freestyle-men,2008
1664,64.0,Omar JASIM  BRN,24.65,50m-freestyle-men,2008
1665,65.0,Zane JORDAN  ZAM,24.82,50m-freestyle-men,2008
1666,66.0,Daniel LEE  SRI,24.92,50m-freestyle-men,2008
1667,67.0,Chakyl Pfiffer CAMAL  MOZ,24.93,50m-freestyle-men,2008
1668,68.0,Andrey MOLCHANOV  TKM,25.02,50m-freestyle-men,2008
1669,69.0,Niall ROBERTS  GUY,25.13,50m-freestyle-men,2008
1670,70.0,Kerson HADLEY  FSM,25.34,50m-freestyle-men,2008
1671,71.0,Stewart GLENISTER  ASA,25.45,50m-freestyle-men,2008
1672,72.0,John KAMYUKA  BOT,25.54,50m-freestyle-men,2008
1673,73.0,Hamza ABDO  PLE,25.6,50m-freestyle-men,2008
1674,74.0,Adil BAIG  PAK,25.66,50m-freestyle-men,2008
1675,75.0,Yasser NUNEZ MUNGUIA  NCA,26.0,50m-freestyle-men,2008
1676,76.0,Kouassi BROU  CIV,26.08,50m-freestyle-men,2008
1677,77.0,Kyaw ZIN  MYA,26.17,50m-freestyle-men,2008
1678,78.0,Tural ABBASOV  AZE,26.31,50m-freestyle-men,2008
1679,79.0,Ponloeu HEMTHON  CAM,27.39,50m-freestyle-men,2008
1680,80.0,Charlton NYIRENDA  MAW,27.46,50m-freestyle-men,2008
1681,81.0,Prasiddha SHAH  NEP,27.59,50m-freestyle-men,2008
1682,82.0,Gilbert KABURU  UGA,27.72,50m-freestyle-men,2008
1683,83.0,Jackson NIYOMUGABO  RWA,27.74,50m-freestyle-men,2008
1684,84.0,Khalid Yahya RUSHAKA  TAN,28.5,50m-freestyle-men,2008
1685,85.0,Dwayne Benjamin DIDON  SEY,28.95,50m-freestyle-men,2008
1686,86.0,Mohamed COULIBALY  MLI,29.09,50m-freestyle-men,2008
1687,87.0,Alisher CHINGIZOV  TJK,29.1,50m-freestyle-men,2008
1688,88.0,Ibrahim SHAMEEL  MDV,29.28,50m-freestyle-men,2008
1689,89.0,Mamadou CISSE  GUI,29.29,50m-freestyle-men,2008
1690,90.0,Thepphithak CHINDAVONG  LAO,29.31,50m-freestyle-men,2008
1691,91.0,Mohamed ATTOUMANE  COM,29.63,50m-freestyle-men,2008
1692,92.0,Rene Jacob YOUGBARE  BUR,30.08,50m-freestyle-men,2008
1693,93.0,Ahmed ADAM  SUD,30.12,50m-freestyle-men,2008
1694,94.0,Abdulsalam AL GADABI  YEM,30.63,50m-freestyle-men,2008
1695,95.0,Mohamed Lamine ALHOUSSEINI ALHASSAN  NIG,30.9,50m-freestyle-men,2008
1696,96.0,Kareem Javier SANDOVAL VALENTINE  ANT,31.23,50m-freestyle-men,2008
1697,97.0,Stany KEMPOMPO NGANGOLA  COD,35.19,50m-freestyle-men,2008
1698,G,Aaron PEIRSOL  USA,52.54,100m-backstroke-men,2008
1699,S,Matthew GREVERS  USA,53.11,100m-backstroke-men,2008
1700,B,Arkady VYATCHANIN  RUS,53.18,100m-backstroke-men,2008
1701,B,Hayden STOECKEL  AUS,53.18,100m-backstroke-men,2008
1702,5.,Ashley DELANEY  AUS,53.31,100m-backstroke-men,2008
1703,6.,Liam TANCOCK  GBR,53.39,100m-backstroke-men,2008
1704,7.,Aschwin WILDEBOER FABER  ESP,53.51,100m-backstroke-men,2008
1705,8.,Junichi MIYASHITA  JPN,53.99,100m-backstroke-men,2008
1706,1.0,Hayden STOECKEL  AUS,52.97,100m-backstroke-men,2008
1707,2.0,Matthew GREVERS  USA,52.99,100m-backstroke-men,2008
1708,3.0,Arkady VYATCHANIN  RUS,53.06,100m-backstroke-men,2008
1709,4.0,Aschwin WILDEBOER FABER  ESP,53.51,100m-backstroke-men,2008
1710,5.0,Aaron PEIRSOL  USA,53.56,100m-backstroke-men,2008
1711,6.0,Liam TANCOCK  GBR,53.61,100m-backstroke-men,2008
1712,7.0,Junichi MIYASHITA  JPN,53.69,100m-backstroke-men,2008
1713,8.0,Ashley DELANEY  AUS,53.76,100m-backstroke-men,2008
1714,9.0,Markus ROGAN  AUT,53.8,100m-backstroke-men,2008
1715,10.0,Tomomi MORITA  JPN,53.95,100m-backstroke-men,2008
1716,11.0,Gerhard ZANDBERG  RSA,53.98,100m-backstroke-men,2008
1717,12.0,Gregor TAIT  GBR,54.37,100m-backstroke-men,2008
1718,13.0,Lubos KRIZKO  SVK,54.38,100m-backstroke-men,2008
1719,14.0,Stanislav DONETS  RUS,54.57,100m-backstroke-men,2008
1720,15.0,Mirco DI TORA  ITA,54.92,100m-backstroke-men,2008
1721,16.0,Guy BARNEA  ISR,54.93,100m-backstroke-men,2008
1722,1.,Matthew GREVERS  USA,53.41,100m-backstroke-men,2008
1723,2.,Arkady VYATCHANIN  RUS,53.64,100m-backstroke-men,2008
1724,3.,Aaron PEIRSOL  USA,53.65,100m-backstroke-men,2008
1725,4.,Aschwin WILDEBOER FABER  ESP,53.67,100m-backstroke-men,2008
1726,5.,Gerhard ZANDBERG  RSA,53.75,100m-backstroke-men,2008
1727,6.,Liam TANCOCK  GBR,53.85,100m-backstroke-men,2008
1728,7.,Hayden STOECKEL  AUS,53.93,100m-backstroke-men,2008
1729,8.,Lubos KRIZKO  SVK,54.07,100m-backstroke-men,2008
1730,9.,Ashley DELANEY  AUS,54.08,100m-backstroke-men,2008
1731,10.,Junichi MIYASHITA  JPN,54.12,100m-backstroke-men,2008
1732,11.,Stanislav DONETS  RUS,54.18,100m-backstroke-men,2008
1733,12.,Tomomi MORITA  JPN,54.21,100m-backstroke-men,2008
1734,13.,Markus ROGAN  AUT,54.22,100m-backstroke-men,2008
1735,14.,Mirco DI TORA  ITA,54.39,100m-backstroke-men,2008
1736,15.,Guy BARNEA  ISR,54.50,100m-backstroke-men,2008
1737,16.,Gregor TAIT  GBR,54.62,100m-backstroke-men,2008
1738,17.,Aristeidis GRIGORIADIS  GRE,54.71,100m-backstroke-men,2008
1739,18.,Damiano LESTINGI  ITA,54.78,100m-backstroke-men,2008
1740,19.,Helge MEEUW  GER,54.88,100m-backstroke-men,2008
1741,20.,Guilherme GUIDO  BRA,54.89,100m-backstroke-men,2008
1744,20.,Razvan Ionut FLOREA  ROU,54.89,100m-backstroke-men,2008
1745,22.,George DU RAND  RSA,54.90,100m-backstroke-men,2008
1746,23.,Min SUNG  KOR,54.99,100m-backstroke-men,2008
1747,24.,Gordan KOZULJ  CRO,55.05,100m-backstroke-men,2008
1748,25.,Benjamin STASIULIS  FRA,55.08,100m-backstroke-men,2008
1749,26.,Omar PINZON GARCIA  COL,55.11,100m-backstroke-men,2008
1750,27.,Jonathan MASSACAND  SUI,55.21,100m-backstroke-men,2008
1751,28.,Nick DRIEBERGEN  NED,55.31,100m-backstroke-men,2008
1752,29.,Pavel SANKOVICH  BLR,55.39,100m-backstroke-men,2008
1753,30.,Derya BUYUKUNCU  TUR,55.43,100m-backstroke-men,2008
1754,31.,Jake TAPP  CAN,55.54,100m-backstroke-men,2008
1755,32.,Vytautas JANUSAITIS  LTU,55.65,100m-backstroke-men,2008
1756,33.,Thomas RUPPRATH  GER,55.77,100m-backstroke-men,2008
1757,34.,Marko STRAHIJA  CRO,55.89,100m-backstroke-men,2008
1758,35.,Orn ARNARSON  ISL,56.15,100m-backstroke-men,2008
1759,36.,Roland RUDOLF  HUN,56.25,100m-backstroke-men,2008
1760,37.,Xiaolei SUN  CHN,56.44,100m-backstroke-men,2008
1761,38.,Oleksandr ISAKOV  UKR,56.55,100m-backstroke-men,2008
1762,39.,Danil BUGAKOV  UZB,56.59,100m-backstroke-men,2008
1763,40.,Eduardo German OTERO  ARG,56.74,100m-backstroke-men,2008
1764,41.,Tomas FUCIK  CZE,57.29,100m-backstroke-men,2008
1765,42.,Stanislav OSSINSKIY  KAZ,57.42,100m-backstroke-men,2008
1766,43.,Jared J HEINE  MHL,58.86,100m-backstroke-men,2008
1767,44.,Souhaib KALALA  SYR,1.00.24,100m-backstroke-men,2008
1768,45.,Mohammad Rubel RANA  BAN,1.04.82,100m-backstroke-men,2008
1769,20.0,Razvan Ionut FLOREA  ROU,54.89,100m-backstroke-men,2008
1770,22.0,George DU RAND  RSA,54.90,100m-backstroke-men,2008
1771,23.0,Min SUNG  KOR,54.99,100m-backstroke-men,2008
1772,24.0,Gordan KOZULJ  CRO,55.05,100m-backstroke-men,2008
1773,25.0,Benjamin STASIULIS  FRA,55.08,100m-backstroke-men,2008
1774,26.0,Omar PINZON GARCIA  COL,55.11,100m-backstroke-men,2008
1775,27.0,Jonathan MASSACAND  SUI,55.21,100m-backstroke-men,2008
1776,28.0,Nick DRIEBERGEN  NED,55.31,100m-backstroke-men,2008
1777,29.0,Pavel SANKOVICH  BLR,55.39,100m-backstroke-men,2008
1778,30.0,Derya BUYUKUNCU  TUR,55.43,100m-backstroke-men,2008
1779,31.0,Jake TAPP  CAN,55.54,100m-backstroke-men,2008
1780,32.0,Vytautas JANUSAITIS  LTU,55.65,100m-backstroke-men,2008
1781,33.0,Thomas RUPPRATH  GER,55.77,100m-backstroke-men,2008
1782,34.0,Marko STRAHIJA  CRO,55.89,100m-backstroke-men,2008
1783,35.0,Orn ARNARSON  ISL,56.15,100m-backstroke-men,2008
1784,36.0,Roland RUDOLF  HUN,56.25,100m-backstroke-men,2008
1785,37.0,Xiaolei SUN  CHN,56.44,100m-backstroke-men,2008
1786,38.0,Oleksandr ISAKOV  UKR,56.55,100m-backstroke-men,2008
1787,39.0,Danil BUGAKOV  UZB,56.59,100m-backstroke-men,2008
1788,40.0,Eduardo German OTERO  ARG,56.74,100m-backstroke-men,2008
1789,41.0,Tomas FUCIK  CZE,57.29,100m-backstroke-men,2008
1790,42.0,Stanislav OSSINSKIY  KAZ,57.42,100m-backstroke-men,2008
1791,43.0,Jared J HEINE  MHL,58.86,100m-backstroke-men,2008
1792,44.0,Souhaib KALALA  SYR,1.00.24,100m-backstroke-men,2008
1793,45.0,Mohammad Rubel RANA  BAN,1.04.82,100m-backstroke-men,2008
1794,G,Natalie COUGHLIN  USA,58.96,100m-backstroke-women,2008
1795,S,Kirsty COVENTRY  ZIM,59.19,100m-backstroke-women,2008
1796,B,Margaret HOELZER  USA,59.34,100m-backstroke-women,2008
1797,4.,Gemma SPOFFORTH  GBR,59.38,100m-backstroke-women,2008
1798,5.,Anastasia ZUEVA  RUS,59.40,100m-backstroke-women,2008
1799,6.,Reiko NAKAMURA  JPN,59.72,100m-backstroke-women,2008
1800,7.,Laure MANAUDOU  FRA,1.00.10,100m-backstroke-women,2008
1801,8.,Hanae ITO  JPN,1.00.18,100m-backstroke-women,2008
1802,1.0,Kirsty COVENTRY  ZIM,58.77,100m-backstroke-women,2008
1803,2.0,Natalie COUGHLIN  USA,59.43,100m-backstroke-women,2008
1804,3.0,Reiko NAKAMURA  JPN,59.64,100m-backstroke-women,2008
1805,4.0,Anastasia ZUEVA  RUS,59.77,100m-backstroke-women,2008
1806,5.0,Gemma SPOFFORTH  GBR,59.79,100m-backstroke-women,2008
1807,6.0,Margaret HOELZER  USA,59.84,100m-backstroke-women,2008
1808,7.0,Hanae ITO  JPN,1.00.13,100m-backstroke-women,2008
1809,8.0,Laure MANAUDOU  FRA,1.00.19,100m-backstroke-women,2008
1810,9.0,Emily SEEBOHM  AUS,1.00.31,100m-backstroke-women,2008
1811,10.0,Elizabeth SIMMONDS  GBR,1.00.39,100m-backstroke-women,2008
1812,11.0,Nina ZHIVANEVSKAYA  ESP,1.00.50,100m-backstroke-women,2008
1813,12.0,Julia WILKINSON  CAN,1.00.60,100m-backstroke-women,2008
1814,13.0,Sophie EDINGTON  AUS,1.01.05,100m-backstroke-women,2008
1815,14.0,Kseniya MOSKVINA  RUS,1.01.06,100m-backstroke-women,2008
1816,15.0,Antje BUSCHSCHULTE  GER,1.01.15,100m-backstroke-women,2008
1817,16.0,Elizabeth COSTER  NZL,1.01.45,100m-backstroke-women,2008
1818,1.,Kirsty COVENTRY  ZIM,59.00,100m-backstroke-women,2008
1819,2.,Reiko NAKAMURA  JPN,59.36,100m-backstroke-women,2008
1820,3.,Anastasia ZUEVA  RUS,59.61,100m-backstroke-women,2008
1821,4.,Natalie COUGHLIN  USA,59.69,100m-backstroke-women,2008
1822,5.,Laure MANAUDOU  FRA,1.00.09,100m-backstroke-women,2008
1823,6.,Gemma SPOFFORTH  GBR,1.00.11,100m-backstroke-women,2008
1824,7.,Margaret HOELZER  USA,1.00.13,100m-backstroke-women,2008
1825,8.,Hanae ITO  JPN,1.00.16,100m-backstroke-women,2008
1826,9.,Emily SEEBOHM  AUS,1.00.27,100m-backstroke-women,2008
1827,10.,Julia WILKINSON  CAN,1.00.38,100m-backstroke-women,2008
1828,11.,Antje BUSCHSCHULTE  GER,1.00.48,100m-backstroke-women,2008
1829,12.,Elizabeth SIMMONDS  GBR,1.00.53,100m-backstroke-women,2008
1830,13.,Nina ZHIVANEVSKAYA  ESP,1.00.54,100m-backstroke-women,2008
1831,14.,Sophie EDINGTON  AUS,1.00.65,100m-backstroke-women,2008
1832,15.,Elizabeth COSTER  NZL,1.00.66,100m-backstroke-women,2008
1833,16.,Kseniya MOSKVINA  RUS,1.00.70,100m-backstroke-women,2008
1834,17.,Tianlongzi XU  CHN,1.00.82,100m-backstroke-women,2008
1835,18.,Fabiola MOLINA  BRA,1.01.00,100m-backstroke-women,2008
1836,19.,Carolina COLORADO HENAO  COL,1.01.19,100m-backstroke-women,2008
1837,20.,Melissa INGRAM  NZL,1.01.24,100m-backstroke-women,2008
1840,21.,Kateryna ZUBKOVA  UKR,1.01.25,100m-backstroke-women,2008
1841,22.,Sanja JOVANOVIC  CRO,1.01.30,100m-backstroke-women,2008
1842,23.,Alexianne CASTEL  FRA,1.01.44,100m-backstroke-women,2008
1843,24.,Nikolett SZEPESI  HUN,1.01.77,100m-backstroke-women,2008
1844,25.,Anna GOSTOMELSKY  ISR,1.01.87,100m-backstroke-women,2008
